EA_number,Year,REGION_NAME,mean_dist_pp50k,mean_roadden,mean_Area_Ha,elevation7_sq,SLOPE_sq,Total_agr_ecological,cwd_early,cwd_late,pdsi_early,pdsi_late,cwd_w,cwd,pdsi,AcidLevel
1,2010,Tigray,56883.66796875,0.264854162931442,154.692901611328,2225401,10.7897348403931,3,614.333333333333,862.666666666667,-257.666666666667,-137.333333333333,738.5,738.5,-197.5,Moderate_Acid
2,2011,Tigray,56883.66796875,0.264854162931442,154.692901611328,2225401,10.7897348403931,3,708.666666666667,1234.33333333333,-342.666666666667,-518.666666666667,911.94543046966,971.499999999999,-430.666666666667,Moderate_Acid
3,2012,Tigray,56883.66796875,0.264854162931442,154.692901611328,2225401,10.7897348403931,3,580.333333333333,1330.33333333333,-541.666666666667,-681.666666666667,911.94543046966,955.333333333332,-611.666666666667,Moderate_Acid
4,2013,Tigray,56883.66796875,0.264854162931442,154.692901611328,2225401,10.7897348403931,3,640.333333333333,985,-570.333333333333,-477.666666666667,812.666666666667,812.666666666667,-524,Moderate_Acid
5,2014,Tigray,56883.66796875,0.264854162931442,154.692901611328,2225401,10.7897348403931,3,596.333333333333,695,-219.666666666667,242.666666666667,645.666666666667,645.666666666667,11.5,Moderate_Acid
6,2015,Tigray,56883.66796875,0.264854162931442,154.692901611328,2225401,10.7897348403931,3,742.666666666667,970.666666666667,-166.666666666667,-313,856.666666666667,856.666666666667,-239.833333333333,Moderate_Acid
7,2016,Tigray,56883.66796875,0.264854162931442,154.692901611328,2225401,10.7897348403931,3,561,1213.66666666667,-330.666666666667,-458,887.333333333335,887.333333333335,-394.333333333333,Moderate_Acid
8,2010,Tigray,60809.5546875,0.085717685520649,3889.71728515625,1117471.75,0.737745761871338,3,559.25045307107,1039.38366846468,-272.968279992555,-230.527607541255,799.317060767875,799.317060767875,-251.747943766905,Neutral
9,2011,Tigray,60809.5546875,0.085717685520649,3889.71728515625,1117471.75,0.737745761871338,3,777.441869383716,1293.97745896384,-404.444203499282,-579.908852915973,911.94543046966,1035.70966417378,-492.176528207627,Neutral
10,2012,Tigray,60809.5546875,0.085717685520649,3889.71728515625,1117471.75,0.737745761871338,3,577.121610085146,1463.91722494828,-565.718677048752,-717.073364877026,911.94543046966,1020.51941751671,-641.396020962889,Neutral
11,2013,Tigray,60809.5546875,0.085717685520649,3889.71728515625,1117471.75,0.737745761871338,3,656.963299376979,1023.76842020834,-616.723342357401,-513.023866234504,840.365859792659,840.365859792659,-564.873604295952,Neutral
12,2014,Tigray,60809.5546875,0.085717685520649,3889.71728515625,1117471.75,0.737745761871338,3,545.125018712221,772.345027616127,-232.570342509054,201.410864743062,658.735023164174,658.735023164174,-15.579738882996,Neutral
13,2015,Tigray,60809.5546875,0.085717685520649,3889.71728515625,1117471.75,0.737745761871338,3,754.235154027944,1108.1585860741,-182.394506775205,-346.350588838155,911.94543046966,931.196870051022,-264.37254780668,Neutral
14,2016,Tigray,60809.5546875,0.085717685520649,3889.71728515625,1117471.75,0.737745761871338,3,526.244063153619,1406.05934881816,-366.708809338013,-527.422806140785,911.94543046966,966.15170598589,-447.065807739399,Neutral
15,2010,Tigray,61546.953125,0.130496799945831,2241.10888671875,1124020.625,1.72474825382233,3,548.888732137049,981.356013857334,-272.479181326906,-188.233932937281,765.122372997192,765.122372997192,-230.356557132093,Neutral
16,2011,Tigray,61546.953125,0.130496799945831,2241.10888671875,1124020.625,1.72474825382233,3,740.660718554906,1289.03076677584,-389.468723498785,-578.190745552308,911.94543046966,1014.84574266537,-483.829734525547,Neutral
17,2012,Tigray,61546.953125,0.130496799945831,2241.10888671875,1124020.625,1.72474825382233,3,532.114268138105,1439.79099173165,-563.592490346786,-718.300972537972,911.94543046966,985.952629934877,-640.946731442379,Neutral
18,2013,Tigray,61546.953125,0.130496799945831,2241.10888671875,1124020.625,1.72474825382233,3,641.88858440692,1017.96880638557,-618.436152385335,-514.317370583884,829.928695396245,829.928695396245,-566.376761484609,Neutral
19,2014,Tigray,61546.953125,0.130496799945831,2241.10888671875,1124020.625,1.72474825382233,3,540.268363082341,732.425134648706,-231.127779807662,254.4742312394,636.346748865524,636.346748865524,11.673225715869,Neutral
20,2015,Tigray,61546.953125,0.130496799945831,2241.10888671875,1124020.625,1.72474825382233,3,741.814801094339,1094.68653073237,-187.116836499944,-370.002583585934,911.94543046966,918.250665913355,-278.559710042939,Neutral
21,2016,Tigray,61546.953125,0.130496799945831,2241.10888671875,1124020.625,1.72474825382233,3,502.328079327704,1395.27925282378,-376.112526952288,-542.875497320557,911.94543046966,948.803666075742,-459.494012136422,Neutral
22,2010,Tigray,55591.0625,0.067754581570625,4397.20166015625,1163676.5,0.617686033248901,3,557.151180948068,1011.55554760519,-262.362311619017,-205.240299191138,784.353364276629,784.353364276629,-233.801305405078,Neutral
23,2011,Tigray,55591.0625,0.067754581570625,4397.20166015625,1163676.5,0.617686033248901,3,756.497983284695,1288.25858986251,-395.489532793316,-576.075053248395,911.94543046966,1022.3782865736,-485.782293020855,Neutral
24,2012,Tigray,55591.0625,0.067754581570625,4397.20166015625,1163676.5,0.617686033248901,3,546.31798497436,1440.49652175502,-560.176235575795,-707.547057170322,911.94543046966,993.40725336469,-633.861646373058,Neutral
25,2013,Tigray,55591.0625,0.067754581570625,4397.20166015625,1163676.5,0.617686033248901,3,643.379900261962,1013.84067948766,-607.947342119753,-505.520550496055,828.610289874811,828.610289874811,-556.733946307904,Neutral
26,2014,Tigray,55591.0625,0.067754581570625,4397.20166015625,1163676.5,0.617686033248901,3,545.51652741045,754.979324500939,-222.518534642789,231.246247610574,650.247925955694,650.247925955694,4.36385648389249,Neutral
