"","WOREDACODE","Mean_Lime_required","W_NAME"
"1",10102,0,"Laelay Adiabo"
"2",10103,0,"Medebay Zana"
"3",10104,0,"Tahitay Qoraro"
"4",10105,0,"Asegede Tsimbila"
"5",10201,0,"Mereb Leha"
"6",10202,0,"Ahiferom"
"7",10203,0,"Wereilehi"
"8",10204,0,"Adwa"
"9",10205,0,"Lailay Mayichewu"
"10",10206,0,"Tahitay Maychew"
"11",10207,0,"Nader Adet"
"12",10208,0,"Kola Temben"
"13",10209,0,"Degua Temben"
"14",10210,0,"Tanqua Abergele"
"15",10301,0.0698200681818182,"Gulo Meheda"
"16",10302,0,"Erop"
"17",10303,0,"Saesi Tsadamba"
"18",10304,0,"Ganta Afeshum"
"19",10305,0,"Hawzen"
"20",10306,0,"Klite Awlalo"
"21",10307,0,"Atsbi Wonberta"
"22",10401,0,"Seharti Samre"
"23",10402,0,"Enderta"
"24",10403,0,"Hintalo Wajirat"
"25",10404,0,"Ambalage"
"26",10405,0,"Endamehone"
"27",10406,0,"Rya Azebo"
"28",10407,0,"Alamata"
"29",10408,1.31712855555556,"Ofla"
"30",10502,1.678286,"Welqayet"
"31",10503,1.01335216666667,"Tsegede"
"32",30102,0.4946128,"Beyeda"
"33",30103,0,"Jan Amora"
"34",30104,0,"Debark"
"35",30105,0,"Dabat"
"36",30108,0,"Lay Armachew"
"37",30109,0,"Wegera"
"38",30110,0.890979,"Gondar Zuriya"
"39",30111,0,"Dembia"
"40",30112,0,"Chilga"
"41",30115,2.041493,"Alefa"
"42",30116,0,"Merab Belesa"
"43",30117,0,"Misrak Belesa"
"44",30121,0,"Takusa"
"45",30201,0,"Ebinat"
"46",30202,0.613343,"Libokemkem"
"47",30203,0.472870153846154,"Fogera"
"48",30204,0.652647441666667,"Farta"
"49",30205,0.2777784,"Lay Gayint"
"50",30206,0,"Tach Gayint"
"51",30207,0,"Simada"
"52",30208,1.3436349,"Misrak Este"
"53",30209,0.3279243,"Dera"
"54",30211,0,"Mirab Este"
"55",30301,0,"Bugna"
