"","WOREDACODE","Mean_Lime_required","W_NAME"
"1",10104,0,"Tahitay Qoraro"
"2",10202,0,"Ahiferom"
"3",10203,0,"Wereilehi"
"4",10204,0,"Adwa"
"5",10205,0,"Lailay Mayichewu"
"6",10206,0,"Tahitay Maychew"
"7",10207,0,"Nader Adet"
"8",10208,0,"Kola Temben"
"9",10209,0,"Degua Temben"
"10",10301,0.054858625,"Gulo Meheda"
"11",10302,0,"Erop"
"12",10303,0,"Saesi Tsadamba"
"13",10304,0,"Ganta Afeshum"
"14",10305,0,"Hawzen"
"15",10306,0,"Klite Awlalo"
"16",10307,0,"Atsbi Wonberta"
"17",10401,0,"Seharti Samre"
"18",10402,0,"Enderta"
"19",10403,0,"Hintalo Wajirat"
"20",10404,0,"Ambalage"
"21",10405,0,"Endamehone"
"22",10406,0,"Rya Azebo"
"23",10407,0,"Alamata"
"24",10408,1.0160706,"Ofla"
"25",10503,1.01335216666667,"Tsegede"
"26",30102,0.2473064,"Beyeda"
"27",30103,0,"Jan Amora"
"28",30104,0,"Debark"
"29",30105,0,"Dabat"
"30",30108,0,"Lay Armachew"
"31",30109,0.152225333333333,"Wegera"
"32",30110,0.611456176470588,"Gondar Zuriya"
"33",30111,0,"Dembia"
"34",30112,0,"Chilga"
"35",30115,1.986288,"Alefa"
"36",30116,0,"Merab Belesa"
"37",30121,0,"Takusa"
"38",30201,0,"Ebinat"
"39",30202,0.613343,"Libokemkem"
"40",30203,0.6147312,"Fogera"
"41",30204,1.049306675,"Farta"
"42",30205,0.2777784,"Lay Gayint"
"43",30206,0,"Tach Gayint"
"44",30207,0,"Simada"
"45",30208,0.8957566,"Misrak Este"
"46",30209,0.136635125,"Dera"
"47",30211,0,"Mirab Este"
"48",30301,0,"Bugna"
"49",30302,0,"Kobo"
"50",30303,0.2096026,"Gidan"
"51",30304,0.135675621212121,"Meket"
"52",30305,0,"Wadla"
"53",30306,0,"Delanta Wereda"
"54",30307,0,"Guba Lafto"
"55",30308,0,"Habru"
"56",30310,0,"Lasta"
"57",30311,0,"Dawunt"
"58",30401,0.4708506,"Mekdela"
"59",30402,0.773366175,"Tenta"
"60",30403,0,"Kutaber"
"61",30404,0,"Ambasel"
"62",30405,0,"Tehuledere"
"63",30406,0,"Werebabo"
"64",30407,0,"Kalu"
"65",30408,0,"Alibuko"
"66",30409,0,"Dese Zuriya"
"67",30410,0.262392675,"LEGAMIBO"
"68",30411,0.263766,"Sayinit"
"69",30412,0.353253666666667,"Debresina"
"70",30413,0,"Kelala"
"71",30414,0,"Jama"
"72",30415,0,"Were Ilu"
"73",30416,0,"WOGIDI"
"74",30419,0.780020769230769,"Mehal Sayit"
"75",30501,0,"Mida Oromo"
"76",30502,0,"Merhabete"
"77",30503,0,"Ensaro"
"78",30505,0,"Menz Gera Meder"
"79",30506,0,"Gishe"
"80",30507,0,"Antsokiya Gemza"
"81",30508,0,"Yifratana Gidim"
"82",30509,0,"Menze Mama Mider"
"83",30510,0,"Tarma Ber"
"84",30511,0,"Mojana Wedera"
"85",30512,0,"Kewet"
"86",30513,0.614091333333333,"Angolelana Tera"
"87",30514,0,"Asagert"
"88",30515,0,"Ankober"
"89",30518,0,"Minjar Shenkora"
"90",30519,0.161654433333333,"Basona Werana"
"91",30521,0,"Menze Keya Gebreal"
"92",30523,0,"Saya Debirna Wayu"
"93",30601,3.250017,"Bibugn"
"94",30602,0.54846325,"Huletej Enese"
"95",30603,0,"Gonchasiso Enese"
"96",30604,0.343631,"Enebise Sar Midir"
"97",30605,0.40418275,"Enarj Enawuga"
"98",30606,0,"Enemay"
"99",30607,1.47841533333333,"Dibay Tilatgin"
"100",30608,3.702092,"Debere Elias"
"101",30609,2.522715,"Machakel"
"102",30610,2.244145,"Gozamn"
"103",30611,1.8968995,"Baso Liben"
"104",30612,0.4928188,"Awabel"
"105",30613,0,"Dejen"
"106",30614,0,"Shebel Berenta"
"107",30616,2.84618833333333,"Senan"
"108",30617,0.4842583,"Aneded"
"109",30701,0,"North Achefer"
"110",30702,0,"Bahir Dar Zuriya"
"111",30703,0.203341157894737,"Yilmana Densa"
"112",30704,2.3422105,"Mecha"
"113",30705,2.80461,"Sekela"
"114",30706,1.30765823076923,"Quarit"
"115",30707,2.14405841176471,"Dega Damot"
"116",30708,2.84047333333333,"Dembecha"
"117",30709,2.136521,"Jebitenan"
"118",30710,3.54111166666667,"Bure"
"119",30711,3.037259,"Wenberma"
"120",30712,0,"Gonji Kolela"
"121",30801,0,"ZIKWALA"
"122",30802,0,"Sekota"
"123",30803,0,"Dehena"
